synthetic text,labels,waste sorting,studying the product labeling,waste recycling,signing petitions to influence authorities,refusing purchases,exchanging,sharing,participating in actions to promote responsible consumption,repairing
"В Тюмени инициативные группы, занимающиеся установкой контейнеров для вторсырья, теперь включают в свои программы сбор крышек от пластиковых бутылок, что расширяет возможности переработки и экологической ответственности.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В апреле минувшего года мы поделились новостью о том, что в Тюмени появился первый отель, который начал практиковать раздельное обращение с мусором (ссылка: https://vk.com/wall-63975920_2112).","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Производственные мощности нашего предприятия дают возможность обрабатывать и разделять следующие категории отходов: крупные предметы, стеклянные изделия, разнообразные виды пластика (включая мягкие и твердые), металлические отходы (черные металлы и алюминий), а также текстильные материалы.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Джейн Перкинс, 55-летняя жительница Великобритании, демонстрирует удивительное мастерство, создавая точные портреты звезд и культовые арт-объекты из разнообразных материалов: от пуговиц до украшений, игрушек и прочих необычных деталей.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"В образовательных учреждениях Тюмени всё ещё можно встретить БУМАГИ, которые используются для различных нужд.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Не упустите возможность отметить пост лайком и поделиться им с друзьями, чтобы все были в курсе, какие виды мусора особенно опасны для природы. Это поможет распространить важную информацию и поддержать экологические инициативы!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Процесс переработки бумажных отходов, таких как картон и макулатура, играет ключевую роль в уменьшении масштабов лесозаготовок. Это действие помогает сохранить природные экосистемы и сокращает потребность в новых деревьях для производства.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"В городе, где мы живем, компания ""Транссервис"" организовала 54 специальные площадки для мусора, расположенные рядом с домами, чьи управляющие компании или товарищества собственников жилья сотрудничают с этой фирмой по условиям контрактов на утилизацию отходов. Список таких адресов можно найти в обсуждении на странице группы в ВК (ссылка: vk.com/topic-63975920_30587214, пост №2491).","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Открылась новая группа, где можно бесплатно обмениваться полезными вещами и знаниями.","[0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,1,0,0,0
"Отлично, все материалы учтены, финансы переведены, и теперь можно подвести итоги нашего экологического мероприятия в янстве!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Нельзя сдавать: • упаковку из полипропилена (маркировка 5, РР); • изделия, содержащие смеси разных пластиков (7, ""другие"" виды, с буквенными обозначениями); • картонные пакеты с крышками (тетрапак).","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Каким образом можно сдать сырье?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Каждый месяц проводим мероприятие по сбору отходов для переработки, под названием ""Экодень""! #экодень","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Для многих из вас, как и для нас, этот день не является чем-то особенным, ведь раздельный сбор мусора для нас — это не разовая акция, а естественная часть повседневности. Мы не воспринимаем его как исключительный момент, а как неотъемлемую часть нашего ежедневного поведения и привычек.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Экологические Уроки

Экологические уроки — это образовательные мероприятия, направленные на повышение осведомлённости и понимания важности сохранения природы. Они охватывают широкий спектр тем, от основ экологии до практических шагов по защите окружающей среды. Включают в себя:

1. **Теоретические лекции**. Объяснение научных принципов и законов, которые регулируют экосистемы и влияют на климат.
   
2. **Практические занятия**. Практикумы по сбору мусора, посадке деревьев, созданию компоста или изучению местных растений и животных.

3. **Дискуссии и семинары**. Возможность обсудить актуальные проблемы и предложить решения, а также узнать мнения экспертов.

4. **Проекты и исследования**. Организация и выполнение экологических проектов, которые могут быть реализованы в школе или на уровне сообщества.

5. **Виртуальные экскурсии**. Онлайн-визиты в заповедники, музеи природы или виртуальные лаборатории для дистанционного обучения.

6. **Интерактивные игры и конкурсы**. Веселые и познавательные мероприятия, способствующие активному вовлечению детей и взрослых.

Такие мероприятия не только способствуют развитию экологической грамотности, но и формируют ответственное отношение к ресурсам и среде обитания.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Уточняем: мероприятие 23 января будет проведено исключительно при условии присутствия ответственного лица!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Школа №41 уже сдала впечатляющие 7 005 килограммов!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Для облегчения процесса и повышения комфорта, мы создали специальную образцовую презентацию, которая поможет Вам.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Поддержка экологически чистых видов транспорта.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Создание групп позволит эффективно организовать поиск добровольцев для дежурств, распространения объявлений и активного участия в создании и поддержке экологических инициатив в вашем районе.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Для более детального изучения различных видов пластика, обратитесь к соответствующей теме.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Не забудь сдать вторсырье!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Событие состоится в пяти различных местах.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
ВСЕ НА МОБИЛЬНУЮ ПЛАТФОРМУ!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Волонтеры проекта «Круговорот» собираются принять все собранные вещи на пяти специально отведенных площадках.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Что предоставляем: прозрачные и коричневые флаконы и тары.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Дорогие друзья, поздравляю вас с успешным проведением мероприятия, посвященного экологическому транспорту, которое состоялось 18 октября! Пусть этот день станет важным шагом к более чистому и устойчивому будущему!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Международный знак в виде ленты Мёбиуса, который часто используется для обозначения возможности переработки, указывает на то, что продукт создан из переработанных материалов или же сам подлежит вторичному использованию в процессе рециклинга.","[0, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0
Как правильно организовать процесс сортировки отходов в домашних условиях?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"25 ноября, сдавайте вторсырье! 🌿♻️","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"21 октября, с 10:00 до 21:00, в торговом центре «Фаворит» состоится ярмарка ручной работы.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Пригласите соседей на экологический праздник! Вместе мы сможем отметить этот день, заботясь о природе и обмениваясь полезными идеями. В программе: совместные экологические проекты, мастер-классы по переработке отходов и экологичному образу жизни, а также дружеские беседы на свежем воздухе. Будет здорово, если каждый внесет свою лепту в создание чистого и зеленого будущего!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Не упустите возможность отметить пост лайком и поделиться им с друзьями, чтобы все были в курсе, какие виды мусора особенно опасны для природы. Это поможет распространить важную информацию и поддержать экологические инициативы!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Компания ООО ""НОВЭК"" внедрила новые контейнеры для сбора пластиковых отходов в таких местах: на Московском тракте, дом 117а, на улице Пермякова, 53, на Широтной улице, дома 65, 81, 110 и 112.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Отправляйте устаревшую бытовую технику в Универсальную утилизационную организацию. Адрес: улица Радищева, дом 27, корпус 1. Телефон для связи: (3452) 40-14-24.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Вы можете сдать на переработку или передать в дар множество предметов: от одежды и обуви до аксессуаров, столовых принадлежностей, детских игр, литературы, электронных устройств, художественных материалов и мебели, а также разнообразные вещи, которые снова найдут применение в чьих-то руках.","[0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,1,0,0
"Если в вашем дворе пока нет контейнеров для раздельного сбора отходов, таких как пластик и бумага, то вот важное сообщение для вас!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"На мероприятии эковоркшопа вы можете присоединиться к команде волонтеров из организации ""Круговорот"", чтобы внести свой вклад в общее дело.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Для быстрого и эффективного сдачи отходов, важно заранее тщательно классифицировать материалы по видам вторичного сырья и организовать их в удобные для приёма формы.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Конечно, мы рады предложить вам свежие решения для раздельного сбора отходов! Наш ассортимент баков теперь обновился, чтобы сделать процесс экологичного быта еще удобнее.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В отеле Mercure Тюмень Центр активно проводится сбор и последующая переработка или экологически безопасная утилизация таких предметов, как батарейки, энергосберегающие лампы и расходные материалы для офисной техники.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Информативная графика от РОСЭКО предоставляет полезные данные и наглядные материалы для понимания экологических вопросов.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Мобильный пункт 4.02.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Можно рассмотреть возможность изменения стиля потребления.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
Нужно рассмотреть замену для мягкого полипропилена.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Обмен игрушками, книгами и развивающими материалами для детей.","[0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,1,0,0,0
"В будущем средства будут направлены на проекты, направленные на внедрение и совершенствование систем раздельного мусора.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Приходите в субботу обменять свою декоративную и уходовую косметику на новые средства!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,1,0,0,0
"Если вы заметили, что кто-то установил или убрал зеленые сетки, сообщите мне об этом через личные сообщения.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Внедрение этих несложных мер даст возможность жителям Тюмени оплачивать услуги по утилизации мусора в зависимости от реального объема, создаст условия для установки контейнеров для сортировки отходов на придомовых территориях и предоставит возможность заработка за счет реализации вторсырья.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Пункт приема на выезде от компании ""Гранула"" ООО.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Уважаемые участники, напоминаем: поездка 7 мая будет возможна исключительно при условии присутствия назначенного дежурного!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Предлагаем вам мастер-класс, который научит вас наводить порядок в доме, сохраняя экологическую чистоту и заботясь о себе. Мы расскажем о безопасных и экологичных методах уборки, которые помогут вам поддерживать порядок и при этом не наносить ущерб природе и вашему самочувствию. 

Вот основные шаги:

1. **Выбор экологически чистых средств**:
   - Используйте натуральные чистящие составы, такие как уксус, сода, лимонный сок и эфирные масла.
   - Избегайте агрессивных химикатов, которые могут вызвать аллергии и раздражение.

2. **Правильная техника уборки**:
   - **Микрофибры и салфетки** – отличные помощники для влажной уборки без лишнего мусора.
   - **Многослойные тряпки** – для сбора пыли и грязи, чтобы не разносить их по дому.

3. **Эффективные методы для разных поверхностей**:
   - **Дерево и паркет**: Сода и вода для полировки, уксус для удаления пятен.
   - **Пластик и стекло**: Уксусный раствор для мытья, сода для дезодорации.

4. **Создание комфортной атмосферы**:
   - **Проветривание** – важный этап, чтобы избавиться от накопившихся запахов и вредных веществ.
   - **Регулярные влажные процедуры** – поддерживают свежесть и чистоту в доме.

5. **Забота о себе и близких**:
   -","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"Главное — извлечь содержимое, будь то файлы, папки, а также вспомогательные предметы, такие как скотч, скрепки и веревки.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
АКЦИЯ! Сдайте стекло и получите выгоду!,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Теперь мы требуем ответа.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0
"Это не означает, что пластик обладает боевыми качествами или храбростью, просто его нельзя утилизировать в Тюмени.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Активисты движения ""Круговорот"" не ограничиваются уличными мероприятиями, они также активно вовлечены в правовые и законодательные процессы.","[0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0
"Прием вторичного сырья осуществляется согласно перечню, утвержденному сортировочной службой.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Некоторые продолжают сдавать материалы, которые мы не можем принять, поэтому просим внимательно проверять, чтобы не отправлять их в общий контейнер для отходов. В итоге, такие вещи попадают в общий бак для мусора!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Теперь в нашем районе установлены девять контейнеров для сортировки отходов.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В 1991 году был создан праздник, направленный на повышение осведомленности о важных экологических вопросах.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Предоставим учебники в отличном состоянии тем, кто действительно в них нуждается.","[0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,1,0,0
"Для изготовления сумочки и коврика мы будем применять материалы, собранные на [Сортировке железнодорожных отходов].","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Принимаемые материалы: ПЭТ-бутылки (PET, 1) и ПНД-упаковка (HDPE, 2).","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Узнал сам — поделись с соседями!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
Уточняем: мероприятие 23 апреля будет организовано исключительно при условии присутствия дежурного!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Мы обеспечиваем наличие как минимум одной постоянной точки приёма деревьев, что позволяет вам сдавать материалы в удобное время, без необходимости спешки.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Мы вместе с вами собрали уже внушительный объем — более 12 тонн отходов, которые теперь могут быть переработаны и использованы повторно!","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Отслужившие батарейки, согласно новым правилам, теперь принимаются в розничных точках продаж, что делает процесс утилизации более доступным для всех.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В этот день все мероприятия будут проходить на условиях пожертвований, направленных на поддержку добровольческого сообщества ""Круговорот"".","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"На мероприятии, организованном Круговоротом, Светлана Вознюк представит и обсудит тему ""Экологически ответственного воспитания"".","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Вот как можно переформулировать этот текст:

### Что можно сдать:
- **Журналы и газеты** — отличный материал для переработки.
- **Офисные листы** — бумага, которая часто используется в офисах.
- **Картонные изделия** — коробки, упаковки и прочие картонные вещи.

### Что не принимается:
- **Сигаретные упаковки** — из-за специфических химических веществ.
- **Бумага с клеем** — сложно перерабатывается без повреждений.
- **Старые обои** — могут содержать клей и красители.
- **Чеки и проездные документы** — слишком тонкие и часто с печатными элементами.
- **Бумажные стаканчики и упаковки** — не подходят из-за сложности очистки и возможного загрязнения.
- **Туалетная бумага и салфетки** — материалы, которые не всегда чисты и не предназначены для вторичного использования.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Приходите в кафе, избавляйтесь от лишнего, находите то, что вам нужно.","[0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,1,0,0,0
"Остатки, которые не подпадают под другие виды отходов, аккумулируются в специальном контейнере или же в черной упаковке.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Сокращать количество чеков, отдавать предпочтение торговым точкам, где применяются альтернативные способы оплаты.","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0
"В субботу, 31 марта, компания ""Миротворец"" организует вывоз вторсырья, включая макулатуру и стекло, которые были собраны в рамках мероприятия [club145091207|Круговорот жизни] жителями дома на улице Мебельщиков, 6.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"Добро пожаловать на встречу! Приходи, чтобы познакомиться и провести время вместе!","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Давайте тщательно разделять отходы, чтобы те, что подлежат переработке, нашли своё второе рождение, и таким образом, мы сможем сохранить нашу планету для будущих поколений.","[0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0
"3 марта начинается инициатива ""Круговорот"", направленная на то, чтобы каждый житель Тюмени мог легко и удобно участвовать в раздельном сборе мусора.","[1, 0, 0, 0, 0, 0, 0, 1, 0]",1,0,0,0,0,0,0,1,0
"В этом месте можно сдать абсолютно все виды пластика, которые принимаются в Тюмени, а также бумагу и алюминий.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"Сегодняшний сбор оказался менее продуктивным, чем обычно: машина заполнена не полностью, около 400-450 кг бумаги. Праздники и летний период сказываются на количестве участников, и дежурить становится сложнее. Особенно остро ощущается нехватка рабочих рук, особенно мужчин. Сегодня нам пришлось самостоятельно разгружать машину, так как грузчики на пункте не работали из-за выходного.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
На заседании Тюменской областной думы был представлен проект по внедрению системы раздельного сбора мусора в городе Тюмени.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Присоединяйтесь к нам: сохранять природу – это просто и доступно!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"В случае необходимости организуем ЭкоУроки и определяем дату, когда наш транспорт прибудет для сбора и транспортировки отходов на переработку.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"В Тюмени уже функционирует мусоросортировочный завод, который начнет полноценную работу с 1 января 2019 года, предварительно пройдя испытания.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В ближайший понедельник, 23 апреля, требуется помощь добровольца, который сможет предоставить транспортное средство с большими размерами (с оплатой расходов на топливо) или же сопровождающего на грузовике типа ""Газель"" на период от одного до двух часов.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Теперь вы можете ознакомиться со всеми ""Экологическими центрами"" в городе, которые готовы принять у вас бумажные отходы. Список таких организаций доступен по этой ссылке.","[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
Вы участвуете в программе вторичной переработки?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0
"В ближайшие месяцы мы будем активно накапливать финансовые ресурсы для фонда ""Круговорот"", который объединяет усилия на благо общего дела.","[0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,1,0
"Предлагаем вам два варианта: либо вы сами организуете мероприятие, привозя все необходимое, либо мы приедем и проведем экологический праздник прямо у вас на территории. 

Вот как это может звучать более кратко и выразительно:

1. **Самостоятельный подход:**
   - Вы берете на себя инициативу, закупаете материалы и проводите акцию.

2. **С нашей помощью:**
   - Мы организуем и доставляем всё, чтобы ваш двор превратился в экологический центр. 

Такой формат позволяет выбрать удобный способ и обеспечить успешное мероприятие.","[0, 0, 1, 0, 0, 0, 0, 1, 0]",0,0,1,0,0,0,0,1,0
